seed,method,query_index,query_type,retrieve_tool,process_tool,reward,cost_tokens,latency_ms
0,pheromone_router,0,factual-lookup,knowledge_base,calculator,0.0552448496072266,180,25
0,pheromone_router,1,text-summarization,vector_db,small_llm,0.4605495941551373,1150,105
0,pheromone_router,2,code-snippet,knowledge_base,small_llm,0.05970798618295711,1120,110
0,pheromone_router,3,code-snippet,vector_db,small_llm,0.3383484010319495,1150,105
0,pheromone_router,4,math-calculation,vector_db,small_llm,-0.07255258977770734,1150,105
0,pheromone_router,5,math-calculation,vector_db,small_llm,-0.05418955769484987,1150,105
0,pheromone_router,6,math-calculation,web_search,small_llm,-0.1190494296317299,1500,150
0,pheromone_router,7,factual-lookup,knowledge_base,small_llm,0.34564000493959035,1120,110
0,pheromone_router,8,text-summarization,web_search,small_llm,0.28483029604599314,1500,150
0,pheromone_router,9,text-summarization,web_search,small_llm,0.20753537594651367,1500,150
0,pheromone_router,10,factual-lookup,vector_db,small_llm,0.17009114939354955,1150,105
0,pheromone_router,11,factual-lookup,web_search,small_llm,0.18982450596766748,1500,150
0,pheromone_router,12,math-calculation,web_search,small_llm,-0.1262792327276413,1500,150
0,pheromone_router,13,code-snippet,web_search,small_llm,0.23864523957032008,1500,150
0,pheromone_router,14,text-summarization,web_search,small_llm,0.2213069985670843,1500,150
0,pheromone_router,15,math-calculation,web_search,calculator,0.09126971043700344,560,65
0,pheromone_router,16,factual-lookup,web_search,small_llm,0.24931530066367164,1500,150
0,pheromone_router,17,math-calculation,knowledge_base,small_llm,-0.03582776861928799,1120,110
0,pheromone_router,18,factual-lookup,web_search,small_llm,0.26627174345030774,1500,150
0,pheromone_router,19,code-snippet,knowledge_base,small_llm,0.09975881448660365,1120,110
0,pheromone_router,20,code-snippet,knowledge_base,small_llm,0.17252065364035576,1120,110
0,pheromone_router,21,code-snippet,vector_db,regex_processor,0.40597304409186036,230,25
0,pheromone_router,22,factual-lookup,web_search,small_llm,0.2552193795326328,1500,150
0,pheromone_router,23,math-calculation,vector_db,small_llm,-0.06798963434625385,1150,105
0,pheromone_router,24,code-snippet,vector_db,regex_processor,0.43255135599866196,230,25
0,pheromone_router,25,text-summarization,web_search,small_llm,0.20946409882309774,1500,150
0,pheromone_router,26,math-calculation,web_search,small_llm,-0.17316739537631926,1500,150
0,pheromone_router,27,factual-lookup,vector_db,small_llm,0.11268042856422403,1150,105
0,pheromone_router,28,text-summarization,web_search,small_llm,0.24750995154701788,1500,150
0,pheromone_router,29,text-summarization,knowledge_base,small_llm,0.27066726267425667,1120,110
0,pheromone_router,30,code-snippet,web_search,regex_processor,0.32134816789258774,580,70
0,pheromone_router,31,code-snippet,vector_db,small_llm,0.3087358512141778,1150,105
0,pheromone_router,32,code-snippet,web_search,regex_processor,0.3067144697730385,580,70
0,pheromone_router,33,factual-lookup,web_search,small_llm,0.2341020385447639,1500,150
0,pheromone_router,34,factual-lookup,web_search,small_llm,0.2835281682381569,1500,150
0,pheromone_router,35,math-calculation,vector_db,small_llm,-0.0065400065619083125,1150,105
0,pheromone_router,36,text-summarization,knowledge_base,small_llm,0.2741512263609208,1120,110
0,pheromone_router,37,text-summarization,web_search,regex_processor,0.013048010327605553,580,70
0,pheromone_router,38,factual-lookup,web_search,small_llm,0.18827064709669905,1500,150
0,pheromone_router,39,factual-lookup,web_search,small_llm,0.23244801003583654,1500,150
0,pheromone_router,40,math-calculation,web_search,small_llm,-0.14789505957539456,1500,150
0,pheromone_router,41,code-snippet,web_search,small_llm,0.1846502374183896,1500,150
0,pheromone_router,42,code-snippet,vector_db,small_llm,0.3302598273769273,1150,105
0,pheromone_router,43,text-summarization,vector_db,small_llm,0.456183542722309,1150,105
0,pheromone_router,44,math-calculation,web_search,small_llm,-0.15545446520576134,1500,150
0,pheromone_router,45,factual-lookup,web_search,calculator,0.0030949466858038593,560,65
0,pheromone_router,46,text-summarization,knowledge_base,small_llm,0.2071755316792979,1120,110
0,pheromone_router,47,factual-lookup,web_search,small_llm,0.2071908500929021,1500,150
0,pheromone_router,48,text-summarization,web_search,small_llm,0.22879501829954957,1500,150
0,pheromone_router,49,factual-lookup,knowledge_base,small_llm,0.25321583253034186,1120,110
0,pheromone_router,50,text-summarization,knowledge_base,small_llm,0.298352543805232,1120,110
0,pheromone_router,51,math-calculation,knowledge_base,small_llm,-0.055035936192387586,1120,110
0,pheromone_router,52,code-snippet,web_search,small_llm,-0.42000000000000004,1500,270
0,pheromone_router,53,math-calculation,vector_db,small_llm,-0.06049145510895501,1150,105
0,pheromone_router,54,math-calculation,vector_db,regex_processor,0.08750655962166128,230,25
0,pheromone_router,55,math-calculation,knowledge_base,small_llm,-0.014390251008183641,1120,110
0,pheromone_router,56,math-calculation,vector_db,small_llm,-0.04816919723257129,1150,105
0,pheromone_router,57,text-summarization,knowledge_base,regex_processor,0.11920558933587773,200,30
0,pheromone_router,58,code-snippet,web_search,regex_processor,-0.248,580,190
0,pheromone_router,59,text-summarization,web_search,small_llm,-0.35990019000344425,1500,270
0,pheromone_router,60,code-snippet,vector_db,small_llm,0.4787855109959468,1150,105
0,pheromone_router,61,math-calculation,vector_db,regex_processor,0.10558491920686898,230,25
0,pheromone_router,62,factual-lookup,knowledge_base,small_llm,0.20287958104434936,1120,110
0,pheromone_router,63,factual-lookup,web_search,small_llm,-0.3840202826079642,1500,270
0,pheromone_router,64,code-snippet,vector_db,small_llm,0.3429911225639314,1150,105
0,pheromone_router,65,code-snippet,web_search,small_llm,-0.3724014403243883,1500,270
0,pheromone_router,66,text-summarization,web_search,small_llm,-0.41063040608626583,1500,270
0,pheromone_router,67,factual-lookup,knowledge_base,small_llm,0.2574507851337774,1120,110
0,pheromone_router,68,text-summarization,knowledge_base,small_llm,0.2663734319114166,1120,110
0,pheromone_router,69,factual-lookup,knowledge_base,small_llm,0.21986642384263125,1120,110
0,pheromone_router,70,text-summarization,web_search,small_llm,-0.3175462155690623,1500,270
0,pheromone_router,71,code-snippet,vector_db,small_llm,0.19534685087304124,1150,105
0,pheromone_router,72,factual-lookup,web_search,small_llm,-0.3953234402808336,1500,270
0,pheromone_router,73,math-calculation,web_search,small_llm,-0.4027200151460157,1500,270
0,pheromone_router,74,math-calculation,knowledge_base,small_llm,-0.040814395954829635,1120,110
0,pheromone_router,75,text-summarization,vector_db,small_llm,0.5412651336689095,1150,105
0,pheromone_router,76,text-summarization,vector_db,small_llm,0.5829949506799622,1150,105
0,pheromone_router,77,text-summarization,web_search,small_llm,-0.36660570419578903,1500,270
0,pheromone_router,78,factual-lookup,web_search,small_llm,-0.3950510777071487,1500,270
0,pheromone_router,79,math-calculation,vector_db,regex_processor,0.06993857803309446,230,25
0,pheromone_router,80,code-snippet,knowledge_base,small_llm,0.12590926129977045,1120,110
0,pheromone_router,81,factual-lookup,vector_db,small_llm,0.1795434512112716,1150,105
0,pheromone_router,82,code-snippet,vector_db,small_llm,0.2873381175267148,1150,105
0,pheromone_router,83,text-summarization,vector_db,small_llm,0.5467103041796122,1150,105
0,pheromone_router,84,math-calculation,vector_db,calculator,0.23612633885933784,210,20
0,pheromone_router,85,text-summarization,knowledge_base,small_llm,0.2150987905447351,1120,110
0,pheromone_router,86,code-snippet,web_search,small_llm,-0.42000000000000004,1500,270
0,pheromone_router,87,code-snippet,web_search,small_llm,-0.32266487142164313,1500,270
0,pheromone_router,88,factual-lookup,vector_db,regex_processor,0.08452208050867922,230,25
0,pheromone_router,89,factual-lookup,vector_db,small_llm,0.27407276968773175,1150,105
0,pheromone_router,90,factual-lookup,knowledge_base,small_llm,0.2585807183255573,1120,110
0,pheromone_router,91,code-snippet,web_search,small_llm,-0.28962397954766606,1500,270
0,pheromone_router,92,math-calculation,knowledge_base,small_llm,-0.0419976646360834,1120,110
0,pheromone_router,93,math-calculation,vector_db,small_llm,-0.08303561045593671,1150,105
0,pheromone_router,94,text-summarization,knowledge_base,small_llm,0.294641502395361,1120,110
0,pheromone_router,95,math-calculation,knowledge_base,regex_processor,0.11306535004123212,200,30
0,pheromone_router,96,code-snippet,web_search,small_llm,-0.37098110459981753,1500,270
0,pheromone_router,97,text-summarization,knowledge_base,small_llm,0.23914169781596642,1120,110
0,pheromone_router,98,math-calculation,vector_db,regex_processor,0.09873860659781657,230,25
0,pheromone_router,99,code-snippet,vector_db,regex_processor,0.37250060983235556,230,25
0,greedy-advertised,0,factual-lookup,web_search,small_llm,0.26745540169229215,1500,150
0,greedy-advertised,1,text-summarization,knowledge_base,small_llm,0.28621052985252926,1120,110
0,greedy-advertised,2,code-snippet,web_search,small_llm,0.19759766479693347,1500,150
0,greedy-advertised,3,code-snippet,web_search,small_llm,0.2969199148585642,1500,150
0,greedy-advertised,4,math-calculation,vector_db,small_llm,-0.09110773685707851,1150,105
0,greedy-advertised,5,math-calculation,vector_db,small_llm,-0.07158455159848473,1150,105
0,greedy-advertised,6,math-calculation,vector_db,small_llm,-0.12094847788186211,1150,105
0,greedy-advertised,7,factual-lookup,web_search,small_llm,0.2001208220178467,1500,150
0,greedy-advertised,8,text-summarization,knowledge_base,small_llm,0.21967056740850663,1120,110
0,greedy-advertised,9,text-summarization,knowledge_base,small_llm,0.29858152681870664,1120,110
0,greedy-advertised,10,factual-lookup,web_search,small_llm,0.3306118801587579,1500,150
0,greedy-advertised,11,factual-lookup,web_search,small_llm,0.266156331559063,1500,150
0,greedy-advertised,12,math-calculation,vector_db,small_llm,-0.028532042268823332,1150,105
0,greedy-advertised,13,code-snippet,web_search,small_llm,0.1524627759281068,1500,150
0,greedy-advertised,14,text-summarization,knowledge_base,small_llm,0.23651092888080702,1120,110
0,greedy-advertised,15,math-calculation,vector_db,small_llm,-0.08537416501053433,1150,105
0,greedy-advertised,16,factual-lookup,web_search,small_llm,0.290698124616182,1500,150
0,greedy-advertised,17,math-calculation,vector_db,small_llm,-0.04357557351076377,1150,105
0,greedy-advertised,18,factual-lookup,web_search,small_llm,0.24444035687174076,1500,150
0,greedy-advertised,19,code-snippet,web_search,small_llm,0.291048925294426,1500,150
0,greedy-advertised,20,code-snippet,web_search,small_llm,0.1971421050202295,1500,150
0,greedy-advertised,21,code-snippet,web_search,small_llm,0.2932679170630698,1500,150
0,greedy-advertised,22,factual-lookup,web_search,small_llm,0.2628147885799163,1500,150
0,greedy-advertised,23,math-calculation,vector_db,small_llm,0.02164468647016432,1150,105
0,greedy-advertised,24,code-snippet,web_search,small_llm,0.33194593691143554,1500,150
0,greedy-advertised,25,text-summarization,knowledge_base,small_llm,0.2386880301767164,1120,110
0,greedy-advertised,26,math-calculation,vector_db,small_llm,-0.0452826747015343,1150,105
0,greedy-advertised,27,factual-lookup,web_search,small_llm,0.24884480385661906,1500,150
0,greedy-advertised,28,text-summarization,knowledge_base,small_llm,0.2915676023458197,1120,110
0,greedy-advertised,29,text-summarization,knowledge_base,small_llm,0.1821706670385598,1120,110
0,greedy-advertised,30,code-snippet,web_search,small_llm,0.15763380172504582,1500,150
0,greedy-advertised,31,code-snippet,web_search,small_llm,0.2668893849473249,1500,150
0,greedy-advertised,32,code-snippet,web_search,small_llm,0.2160113766016581,1500,150
0,greedy-advertised,33,factual-lookup,web_search,small_llm,0.36601804935409193,1500,150
0,greedy-advertised,34,factual-lookup,web_search,small_llm,0.18084486244821107,1500,150
0,greedy-advertised,35,math-calculation,vector_db,small_llm,-0.04322498161815072,1150,105
0,greedy-advertised,36,text-summarization,knowledge_base,small_llm,0.2836896114089914,1120,110
0,greedy-advertised,37,text-summarization,knowledge_base,small_llm,0.30052016492812594,1120,110
0,greedy-advertised,38,factual-lookup,web_search,small_llm,0.29302262935862095,1500,150
0,greedy-advertised,39,factual-lookup,web_search,small_llm,0.3668308526252025,1500,150
